Leap Product,Company ObjectId,Account Name,Plan,Account ID,Agreement: Agreement #,Next Payment Due Date,Start Date,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Total Setup Fee,Total Paid-To-Date,Billing Zip/Postal Code,Billing City,Billing State/Province,Account Owner,Customer Success Manager,Current MRR,Consolidated Census Bands,Census Bands,# Of Potential Users,Current Leap Users,Current SalesPro Users,Current Leap MRR,Current SalesPro MRR
JobProgress,,Before Listing INC,Partner 65,0011K00002ZN81e,4847,12/13/22,8/25/20,not found,Contractors - Building,3,60.5,181.5,500,"$1,780 ",77036,Houston,TX,Colton Temanson,Colton Temanson,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,"NCR, LLC",Partner 65,0011K00002ZN80r,5409,12/13/22,8/24/18,not found,,3,60.5,181.5,500,"$1,780 ",80015,Aurora,CO,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Enterprise Roofing LLC,Partner 65,0011K00002ZN7eT,5071,12/13/22,1/23/20,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,779 ",32086,St Augustine,FL,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Clover Roofing,Partner 65,0011K00002ZN7wG,4621,12/13/22,2/23/21,238160,Contractors - Roofing,3,60.5,181.5,500,"$1,779 ",62966,Murphysboro,IL,Daniil Lyalko,Kevin Powell,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,Red Group Services,Partner 65,0011K00002ZN85H,5041,12/13/22,3/23/21,not found,Contractors - Building,3,60.5,181.5,500,"$1,779 ",7050,Orange,NJ,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Reliable Exterior Solutions LLC,Partner 65,0011K00002ZN83u,4963,12/13/22,5/22/20,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,778 ",30115,Canton,GA,Colton Temanson,Colton Temanson,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Carpenter's Touch LLC,Partner 65,0011K00002ZN81C,5459,12/13/22,2/21/18,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,778 ",7039,Livingston,NJ,Corey Stroup Mishenko,Corey Stroup Mishenko,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,Menzel Roofing Services LLC,Partner 65,0011K00002ZN80h,4957,12/13/22,5/20/20,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,777 ",32708,Winter Springs,FL,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Kena Kitchen and Bath Design,Partner 65,0011K00002ZN7gX,4240,12/13/22,12/20/21,not found,Cabinets & Countertops,3,60.5,181.5,500,"$1,777 ",7036,Linden,NJ,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,"Rogue Valley Roofing, LLC",Partner 65,0011K00002ZN7WJ,5168,12/13/22,10/18/19,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,776 ",97501,Medford,OR,Daniil Lyalko,Kevin Powell,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,A1 Roofing's Kanga Roof,Partner 65,0011K00002ZN7ze,4825,12/13/22,9/17/20,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,775 ",21075,Elkridge,MD,Sydney Phillips,Sydney Phillips,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,The Cool Roofing Company,Partner 65,0011K00002ZN7dR,5455,12/13/22,3/16/18,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,775 ",30559,Mineral Bluff,GA,Sydney Phillips,Sydney Phillips,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,Cadeza Roofing,Partner 65,0011K00002ZN7hp,4707,12/13/22,1/15/21,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,774 ",77461,Needville,TX,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,DanTam Concrete,Partner 65,0011K00002ZN7t1,4493,12/13/22,5/18/21,not found,Contractors - Concrete,3,60.5,181.5,500,"$1,774 ",17019,Dillsburg,PA,Daniil Lyalko,Kevin Powell,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Blue Ribbon Exteriors and Construction,Partner 65,0011K00002LVVmg,4718,12/13/22,1/15/21,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,774 ",80021,Broomfield,CO,Colton Temanson,Colton Temanson,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,"Lefever Electric, Inc.",Partner 65,0011K00002ZN7ks,4199,12/13/22,1/7/22,not found,"Utilities - Gas, Water & Electric",3,60.5,181.5,500,"$1,773 ",17345,Manchester,PA,Sydney Phillips,Sydney Phillips,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,"RoofTop 101, LLC",Partner 65,0011K00002ZN7l3,4233,12/13/22,12/12/21,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,773 ",78401,Corpus Christi,TX,Colton Temanson,Colton Temanson,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Illinois General Remodeling Service Co,Partner 65,0011K00002ZN7SI,5046,12/13/22,2/12/20,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,772 ",60120,Elgin,IL,Daniil Lyalko,Kevin Powell,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Kitchens Etc,Partner 65,0011K00002ZN7wt,4626,12/13/22,2/11/21,not found,Interior Designers & Decorators,3,60.5,181.5,500,"$1,772 ",98632,Longview,WA,Colton Temanson,Colton Temanson,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Clear choice coatings of southern Utah,Partner 65,0011K00002ZN7SD,4256,12/13/22,12/10/21,not found,Contractors - Building,3,60.5,181.5,500,"$1,771 ",84771-0994,St George,UT,Colton Temanson,Colton Temanson,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Salty Construction,Partner 65,0011K00002ZN7yH,4801,12/13/22,9/28/20,not found,Contractors - Building,3,55,165,500,"$1,771 ",77339,Kingwood,TX,Daniil Lyalko,Kevin Powell,165,1-9 employees,1-4 employees,,3,0,165,0
JobProgress,,Palm Beach Premier Remodeling INC,Partner 65,0011K00002ZN81A,4826,12/13/22,9/9/20,not found,Home Improvement & Remodeling Services,3,60.5,181.5,500,"$1,771 ",33460,Lake Worth,FL,Daniil Lyalko,Kevin Powell,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Athens Roofing,Partner 65,0011K00002ZN7yV,4716,12/13/22,1/8/21,238160,Contractors - Roofing,3,60.5,181.5,500,"$1,770 ",30606,Athens,GA,Corey Stroup Mishenko,Corey Stroup Mishenko,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,Kfalls Maintenance,Partner 65,0011K00002ZN7Mr,4443,12/13/22,7/7/21,not found,Contractors - Building,3,60.5,181.5,500,"$1,769 ",97601,Klamath Falls,OR,Corey Stroup Mishenko,Corey Stroup Mishenko,181.5,10-19 employees,10-19 employees,,3,0,181.5,0
JobProgress,,Good Guys Roofing LLC,Partner 65,0011K00002aLqFk,5720,1/20/23,12/20/22,not found,,2,65,130,500,"$1,769 ",43606,toledo,Ohio,Colton Temanson,Colton Temanson,130,1-9 employees,1-4 employees,,2,0,130,0
JobProgress,,Frailey Roofing,Leap Team 2023,0011K00002d8xhF,6732,7/9/23,6/9/23,238160,,5,79,395,500,"$1,766 ",80104,Castle Rock,CO,Corey Stroup Mishenko,Corey Stroup Mishenko,395,1-9 employees,5-9 employees,,5,0,395,0
JobProgress,,Gold Star Roofing LLC,Partner 65,0011K00002ZN7YR,4939,12/13/22,5/4/22,not found,Contractors - Roofing,4,60.5,242,500,"$1,763 ",44062,Middlefield,OH,Francesca Furnells,Francesca Furnells,242,1-9 employees,1-4 employees,,4,0,242,0
JobProgress,,Central Texas RetroFoam,Partner 65,0011K00002ZN7kF,4384,12/13/22,8/20/21,not found,Contractors - Building,5,38.5,192.5,1000,"$1,755 ",78233,San Antonio,TX,Sydney Phillips,Sydney Phillips,192.5,1-9 employees,5-9 employees,,5,0,192.5,0
Both,AG5u6iFkiW,EZ Deck,Partner 65,0011K00002J3nN9,5406,12/13/22,9/28/18,not found,Contractors - Deck & Patio,2,60.5,171,500,"$1,754 ",19734,Townsend,DE,Francesca Furnells,Francesca Furnells,308.5,1-9 employees,1-4 employees,1,2,1,171,137.5
JobProgress,,Elegant Roofing & Restoration Contractors,Partner 65,0011K00002ZN82d,5259,12/13/22,12/9/22,not found,Contractors - Roofing,3,50,200,500,"$1,752 ",77038,Houston,TX,Colton Temanson,Colton Temanson,200,1-9 employees,1-4 employees,,3,0,200,0
Leap,rEyoK9bHSB,KO Concrete Coatings LLC,Enterprise 2021,0011K00002LSWo9,3595,10/15/23,9/15/22,not found,Contractors - Building,1,125,125,0,"$1,750 ",59714,Belgrade,MT,Corey Stroup Mishenko,Corey Stroup Mishenko,125,1-9 employees,1-4 employees,5,0,1,0,125
JobProgress,,Alpha Sales Consultants,Partner 65,0011K00002aNSRD,5983,2/19/23,1/19/23,not found,,4,65,260,0,"$1,748 ",30114,Canton,GA,Christopher Cielo,Christopher Cielo,260,1-9 employees,1-4 employees,,4,0,260,0
JobProgress,,Premier Roofing LLC,Partner 65,0011K00002ZN7co,4033,12/13/22,4/21/22,not found,Contractors - Roofing,3,60.5,181.5,500,"$1,744 ",21132,Pylesville,MD,Sydney Phillips,Sydney Phillips,181.5,1-9 employees,1-4 employees,,3,0,181.5,0
JobProgress,,Rodas Roofing And Construction,Leap Team 2023,0011K00002d8Hsz,6666,6/25/23,5/25/23,not found,,4,79,341,500,"$1,739 ",27529,Garner,North Carolina,Daniil Lyalko,Lester Morris,341,1-9 employees,1-4 employees,,4,0,341,0
