Leap Product,Plan,NAICS Code,Primary Classification,Current Number of Licenses,Current Monthly Cost Per License,Current Total Monthly Cost,Billing State/Province,Current MRR
JobProgress,Leap Team 2023b,not found,,3,99,249,AZ,249
JobProgress,Leap Team 2023,not found,,4,79,316,MI,316
JobProgress,Leap Team 2023,not found,,3,79,237,KY,237
JobProgress,Leap Team 2023,not found,,2,79,158,TX,158
JobProgress,Leap Team 2023,not found,,2,79,158,MO,158
JobProgress,Leap Team 2023,238160,Contractors - Roofing,3,79,237,South Carolina,237
JobProgress,Leap Team 2023,not found,,3,99,249,MD,249
JobProgress,Leap Team 2023,not found,,3,99,249,FL,249
JobProgress,Leap Team 2023b,not found,,5,99,447,FL,447
JobProgress,Partner 65,not found,,2,60.5,121,WI,121
Both,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,TX,150.5
JobProgress,Leap Team 2023,not found,,1,79,79,FL,79
JobProgress,Partner 65,not found,Contractors - Carpentry,2,60.5,121,FL,121
Both,Leap Team 2023,not found,,2,79,158,IL,207
JobProgress,Partner 65,not found,,2,60.5,121,QC,121
JobProgress,Partner 65,not found,Fire & Water - Damage & Restoration,2,60.5,121,MI,121
JobProgress,Partner 65,not found,Contractors - Painting,1,60.5,60.5,KS,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,85.5,TX,85.5
JobProgress,Leap Team 2023b,not found,,4,98,347,NC,347
JobProgress,Partner 65,not found,,1,65,65,MO,65
JobProgress,Leap Team 2023b,not found,,5,65,379,CO,379
JobProgress,Partner 65,not found,,1,65,65,Minnesota,65
Leap,Premium 2021,not found,Contractors - Roofing,1,90,90,NY,90
JobProgress,Partner 65,not found,,2,60.5,121,MD,121
JobProgress,Partner 65,not found,,2,45,90,Georgia,90
Leap,Premium 2021,not found,Contractors - Roofing,1,90,90,ID,90
Leap,Premium 2021,not found,Contractors - Roofing,1,90,90,CA,90
JobProgress,Partner 65,not found,Contractors - Insulation,2,35,70,OR,70
JobProgress,Leap Team 2023,not found,,1,79,104,Queensland,104
JobProgress,Leap Team 2023b,not found,,3,99,249,FL,249
JobProgress,Partner 65,not found,Contractors - Roofing,3,65,195,IN,195
JobProgress,Leap Team 2023,not found,,3,99,249,GA,249
Leap,SalesPro Team 2023,not found,,4,99,396,MD,396
Leap,SalesPro Team 2023,not found,,1,99,99,RI,99
Leap,SalesPro Team 2023,not found,,1,99,99,FL,99
Leap,SalesPro Team 2023,not found,,1,99,99,TX,99
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,MD,60.5
JobProgress,Leap Team 2023,not found,,1,79,79,TX,79
Both,Partner 65,not found,,1,79,79,California,178
JobProgress,Leap Team 2023,not found,,1,79,79,MD,79
JobProgress,Leap Team 2023,not found,,1,79,79,PA,79
JobProgress,Leap Team 2023,not found,,1,79,79,Nebraska,79
JobProgress,Leap Team 2023,not found,,1,79,79,FL,79
JobProgress,Leap Team 2023,not found,,1,79,79,Texas,79
JobProgress,Leap Team 2023,not found,,1,79,79,Wisconsin,79
JobProgress,Leap Team 2023,not found,,1,79,79,Ohio,79
JobProgress,Leap Team 2023,not found,,1,79,79,Texas,79
JobProgress,Partner 65,not found,Contractors - Roofing,2,60,120,IL,120
Leap,Premium 2021,not found,,1,99,99,SC,99
JobProgress,Leap Team 2023,not found,Contractors - Roofing,3,99,345,IN,345
JobProgress,Partner 65,not found,,1,65,65,South Carolina,65
JobProgress,Leap Team 2023,not found,,3,74,222,TX,222
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,MA,121
JobProgress,Partner 65,not found,Contractors - Roofing,5,60.5,302.5,AB,302.5
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,WA,121
JobProgress,Partner 65,not found,,2,60.5,121,AL,121
Leap,Pro 2021,not found,,2,49,98,MO,98
JobProgress,Leap Team 2023,not found,,2,79,158,MD,158
JobProgress,Leap Team 2023,not found,,2,79,158,NH,158
Leap,Pro 2021,not found,Housewares & Home Decor,1,49,49,FL,49
JobProgress,Partner 65,not found,Contractors - Roofing,2,66,132,GA,132
JobProgress,Leap Team 2023b,not found,,7,95,629,NY,629
JobProgress,Leap Team 2023b,not found,,3,99,299,AZ,299
JobProgress,Partner 65,not found,,2,60.5,121,MN,121
JobProgress,Leap Team 2023,not found,,2,79,158,OK,158
JobProgress,Partner 65,not found,Fences,3,60.5,181.5,KY,181.5
JobProgress,Partner 65,not found,,3,60.5,181.5,CA,181.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,TN,60.5
JobProgress,Leap Team 2023b,not found,,3,99,274,NC,274
JobProgress,Leap Team 2023,not found,,3,35,105,MI,105
Leap,SalesPro Team 2023,not found,,2,99,198,CA,198
JobProgress,Partner 65,not found,,1,65,65,Connecticut,65
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,OH,121
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,CO,65
JobProgress,Leap Team 2023b,not found,,4,99,348,TN,348
JobProgress,Leap Team 2023b,not found,,4,99,348,NC,348
JobProgress,Leap Team 2023b,not found,,3,99,249,TX,249
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,PA,60.5
JobProgress,Partner 65,not found,Cabinets & Countertops,1,60.5,85.5,CT,85.5
Leap,SalesPro Enterprise 2023,not found,Glass Products & Services,7,120,840,FL,840
Both,Partner 65,not found,,1,65,65,FL,190
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,85.5,OH,85.5
JobProgress,Partner 65,not found,Contractors - Building,2,60.5,121,PA,121
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,SC,121
JobProgress,Leap Team 2023,not found,Contractors - Building,2,60.5,121,VA,121
JobProgress,Leap Team 2023b,not found,,5,84,417,Ohio,414
JobProgress,Partner 65,238160,Contractors - Roofing,1,60.5,60.5,TX,60.5
JobProgress,Leap Team 2023,not found,Contractors - Roofing,1,79,79,KS,79
JobProgress,Leap Team 2023,not found,,1,79,79,NY,79
JobProgress,Leap Team 2023,not found,,1,79,79,AZ,79
JobProgress,Leap Team 2023,not found,,1,79,79,Kentucky,79
Both,Partner 65,not found,,2,60.5,121,MO,353
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,PA,181.5
JobProgress,Leap Team 2023,not found,,2,79,158,TX,158
JobProgress,Leap Team 2023,not found,,1,79,79,OH,79
Leap,Premium 2021,not found,Contractors - Roofing,1,90,90,MD,90
Leap,Premium 2021,not found,Engineers,1,90,90,OR,90
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CT,60.5
JobProgress,Leap Team 2023,not found,,4,79,366,CA,366
JobProgress,Leap Team 2023,not found,,3,99,249,TN,249
Both,SalesPro Team 2023,not found,,1,99,99,MI,348
JobProgress,Partner 65,not found,,1,65,65,CA,65
Both,SalesPro Team 2023,not found,,2,99,198,TX,356
Leap,Premium 2021,not found,,1,99,99,FL,99
Both,Premium 2021,not found,Contractors - Roofing,1,99,99,Oregon,792
Both,Leap Team 2023,not found,,2,79,158,MI,356
JobProgress,Leap Team 2023,not found,,2,79,158,Florida,158
JobProgress,Leap Team 2023,not found,,2,79,158,NJ,158
JobProgress,Partner 65,not found,,4,60.5,242,CO,242
Leap,Premium 2021,not found,Home Improvement & Remodeling Services,1,99,99,VA,99
JobProgress,Leap Team 2023b,not found,,5,99,447,Texas,447
JobProgress,Partner 65,not found,,1,65,65,WA,65
JobProgress,Partner 65,not found,Contractors - Building,2,65,130,NY,130
JobProgress,Partner 65,not found,Contractors - Roofing,3,60.5,181.5,MO,181.5
Leap,SalesPro Enterprise 2023,not found,,2,129,258,FL,258
Leap,SalesPro Enterprise 2023,not found,Contractors - Insulation,2,129,258,GA,258
JobProgress,Partner 65,238160,Contractors - Roofing,1,65,65,OH,65
JobProgress,Leap Team 2023,not found,,1,79,79,MD,79
Both,Leap Team 2023b,not found,,5,99,447,FL,942
JobProgress,Partner 65,not found,Cabinets & Countertops,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,OR,121
Leap,SalesPro Team 2023,not found,,3,85,255,iowa,255
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,,2,60.5,146,TX,146
Leap,SalesPro Enterprise 2023,not found,,2,125,250,VA,250
Leap,SalesPro Enterprise 2023,not found,,1,125,125,NC,125
JobProgress,Leap Team 2023b,not found,,3,99,249,CA,249
JobProgress,Leap Team 2023b,not found,,3,99,249,CO,249
JobProgress,Leap Team 2023b,not found,,3,99,249,GA,249
JobProgress,Leap Team 2023b,not found,,3,99,249,CA,249
JobProgress,Leap Team 2023b,not found,,3,99,249,AL,249
JobProgress,Leap Team 2023b,not found,,3,99,249,NC,249
JobProgress,Partner 65,238160,Contractors - Roofing,1,60.5,60.5,OH,60.5
JobProgress,Leap Team 2023b,not found,Contractors - Insulation,3,99,249,AZ,249
JobProgress,Leap Team 2023,not found,,3,99,249,VA,249
JobProgress,Leap Team 2023b,not found,,3,99,249,AZ,249
Both,Leap Team 2023,not found,,3,99,249,IL,447
JobProgress,Leap Team 2023b,not found,,4,99,249,OH,249
JobProgress,Leap Team 2023,not found,,3,99,249,VA,249
JobProgress,Leap Team 2023,not found,,3,99,249,CA,249
JobProgress,Leap Team 2023,not found,,3,99,249,WI,249
JobProgress,Leap Team 2023,not found,,3,99,249,IN,249
JobProgress,Leap Team 2023,238160,Contractors - Roofing,3,99,249,TX,249
JobProgress,Leap Team 2023,not found,,3,99,249,CT,249
JobProgress,Leap Team 2023,not found,,3,99,249,CA,249
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,FL,60.5
JobProgress,Leap Team 2023b,not found,,5,99,447,Virginia,447
JobProgress,Partner 65,not found,Contractors - Building,1,66,66,NJ,66
JobProgress,Leap Team 2023,not found,,1,79,79,PA,79
JobProgress,Partner 65,not found,,1,65,65,OK,65
JobProgress,Leap Team 2023,not found,,3,35,105,FL,105
JobProgress,Partner 65,not found,,1,45,45,MD,45
JobProgress,Partner 65,not found,,1,60.5,60.5,TX,60.5
JobProgress,Partner 65,not found,,1,60,60,CA,60
JobProgress,Partner 65,238160,Contractors - Roofing,2,60.5,121,CO,121
Both,Leap Team 2023,not found,,3,79,237,IN,435
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,OK,121
JobProgress,Leap Team 2023b,not found,,3,99,249,TX,249
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CO,60.5
JobProgress,Partner 65,not found,,1,65,65,AL,65
JobProgress,Partner 65,not found,,1,65,65,MO,65
JobProgress,Partner 65,not found,,1,65,65,WI,65
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,IN,65
JobProgress,Partner 65,238160,Contractors - Roofing,1,60.5,60.5,NE,60.5
JobProgress,Leap Team 2023,238160,,3,79,237,TX,237
JobProgress,Partner 65,not found,Fire & Water - Damage & Restoration,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,65,65,MB,65
JobProgress,Partner 65,not found,Fire & Water - Damage & Restoration,2,60.5,121,DE,121
Both,Partner 65,not found,Contractors - Insulation,2,35,70,OK,268
Both,SalesPro Team 2023,238160,Contractors - Roofing,1,99,99,AL,348
Leap,SalesPro Team 2023,not found,,1,99,99,WA,99
Both,Partner 65,not found,Contractors - Roofing,12,49.5,619,MA,1164
JobProgress,Leap Team 2023b,not found,,4,99,348,DE,348
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,NC,60.5
Both,SalesPro Team 2023,not found,,1,99,99,CT,257
Leap,SalesPro Team 2023,not found,,1,99,99,Minnesota,99
Leap,Premium 2021,not found,Consultants - Business,1,99,99,FL,99
JobProgress,Leap Team 2023,not found,,1,79,79,Colorado,79
JobProgress,Partner 65,not found,Contractors - Masonry,2,60.5,121,CO,121
JobProgress,Partner 65,not found,,1,55,55,Georgia,55
JobProgress,Partner 65,not found,,1,65,65,MA,65
JobProgress,Leap Team 2023b,not found,,4,99,348,MD,348
JobProgress,Partner 65,not found,,1,60.5,60.5,LA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,IN,60.5
JobProgress,Partner 65,not found,Contractors - Insulation,2,38.5,77,LA,77
JobProgress,Partner 65,not found,Contractors - Painting,2,65,130,NJ,130
Both,Partner 65,not found,,1,65,65,Iowa,164
JobProgress,Partner 65,238160,,1,60.5,60.5,NS,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,55,55,NC,55
JobProgress,Partner 65,not found,Contractors - Painting,1,60.5,60.5,FL,60.5
Both,Leap Team 2023,not found,,2,70,140,SD,320
JobProgress,Partner 65,not found,Contractors - Concrete,2,60.5,121,CA,121
JobProgress,Leap Team 2023,not found,Contractors - Roofing,2,55,110,WA,110
JobProgress,Partner 65,not found,,1,65,65,NJ,65
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,PA,60.5
JobProgress,Partner 65,not found,Fire & Water - Damage & Restoration,1,60.5,60.5,PA,60.5
JobProgress,Leap Team 2023,not found,,1,79,79,IL,79
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,110.5,TX,110.5
Both,Leap Team 2023,not found,Construction Supplies & Services,3,99,249,VA,459
JobProgress,Partner 65,not found,Hardware Tools & Services,1,60.5,60.5,UT,60.5
JobProgress,Partner 65,not found,Engineers,1,60.5,60.5,ID,60.5
JobProgress,Partner 65,238160,Contractors - Roofing,1,60.5,60.5,ON,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,AL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CT,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,VA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CT,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,MO,65
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,KY,65
JobProgress,Partner 65,not found,,1,65,65,Illinois,65
JobProgress,Partner 65,238160,,1,65,65,FL,65
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,TX,65
JobProgress,Partner 65,not found,,1,65,65,CA,65
JobProgress,Partner 65,not found,,1,65,65,TX,65
JobProgress,Partner 65,not found,Contractors - Building,1,65,65,CA,65
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,MI,65
JobProgress,Partner 65,not found,,1,65,65,FL,65
JobProgress,Partner 65,not found,Contractors - Building,1,65,65,MI,65
JobProgress,Partner 65,not found,Contractors - Building,1,65,65,ON,65
JobProgress,Partner 65,not found,Contractors - Concrete,1,65,65,CA,65
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,CA,65
JobProgress,Partner 65,not found,,1,65,65,FL,65
JobProgress,Partner 65,not found,,1,65,65,FL,65
JobProgress,Partner 65,not found,,1,65,65,CO,65
JobProgress,Partner 65,not found,,1,65,65,CA,65
JobProgress,Partner 65,not found,,1,65,65,PA,65
Both,Partner 65,not found,Contractors - Building,1,65,65,IL,190
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,NC,65
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,MN,65
JobProgress,Partner 65,not found,Contractors - Building,1,65,65,CA,65
JobProgress,Partner 65,not found,Contractors - Roofing,1,65,65,GA,65
JobProgress,Leap Team 2023,not found,,5,65,325,CA,325
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,NY,60.5
JobProgress,Partner 65,not found,Contractors - Masonry,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,TX,60.5
JobProgress,Partner 65,238160,Contractors - Roofing,1,60.5,60.5,OR,60.5
JobProgress,Partner 65,not found,"Contractors - Tile, Marble & Granite",1,60.5,60.5,FL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,MI,60.5
JobProgress,Partner 65,not found,"Contractors - Tile, Marble & Granite",1,60.5,60.5,LA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CT,60.5
JobProgress,Partner 65,238160,Contractors - Roofing,1,60.5,60.5,IL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,TN,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,NC,60.5
JobProgress,Partner 65,not found,"Contractors - Tile, Marble & Granite",1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,TX,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,FL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,MA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,PA,60.5
JobProgress,Partner 65,not found,Cleaning Services & Supplies,1,60.5,60.5,NY,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,IL,60.5
JobProgress,Partner 65,not found,Housewares & Home Decor,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,MN,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,FL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,IL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,NY,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,66,66,IN,66
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,TX,60.5
Leap,SalesPro Team 2023,not found,,2,99,198,TX,198
JobProgress,Partner 65,not found,Contractors - Roofing,1,66,66,VA,66
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,AZ,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,Glass Products & Services,1,60.5,60.5,GA,60.5
Both,Leap Team 2023,not found,,2,70,140,MI,320
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,FL,60.5
JobProgress,Partner 65,238160,Contractors - Roofing,1,60.5,60.5,ON,60.5
Leap,Pro 2021,not found,Contractors - Building,1,49,49,PA,49
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CA,60.5
Both,Leap Team 2023,not found,,2,79,158,NC,257
JobProgress,Leap Team 2023,not found,,2,79,158,Georgia,158
JobProgress,Leap Team 2023,not found,,2,79,158,CO,158
JobProgress,Leap Team 2023,not found,,2,79,158,NJ,158
JobProgress,Leap Team 2023,not found,,2,79,158,PA,158
JobProgress,Partner 65,not found,,1,65,65,Iowa,65
JobProgress,Leap Team 2023b,not found,Contractors - Building,7,95,629,NC,629
JobProgress,Partner 65,not found,Glass Products & Services,1,60.5,60.5,NY,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,MD,121
JobProgress,Partner 65,not found,Contractors - Roofing,1,55,55,MO,55
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,IL,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,TN,60.5
JobProgress,Partner 65,not found,Landscaping Services & Supplies,1,60.5,60.5,FL,60.5
JobProgress,Partner 65,not found,,1,65,65,TX,65
JobProgress,Leap Team 2023b,not found,,3,99,249,Ohio,249
JobProgress,Partner 65,not found,,1,45,45,Indiana,45
JobProgress,Partner 65,not found,Real Estate - Brokers & Agents,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,TX,121
JobProgress,Partner 65,not found,Contractors - Roofing,2,60.5,121,WI,121
JobProgress,Partner 65,not found,Contractors - Building,2,60.5,121,FL,121
Leap,SalesPro Team 2023,236118,Home Improvement & Remodeling Services,1,99,99,OH,99
Leap,SalesPro Team 2023,not found,,1,99,99,WA,99
JobProgress,Partner 65,not found,,2,65,130,Ohio,130
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,NJ,60.5
Both,SalesPro Team 2023,not found,,2,99,198,OK,447
Leap,SalesPro Team 2023,not found,,2,99,198,NC,198
Both,SalesPro Enterprise 2023,not found,,1,99,99,VA,173
Leap,SalesPro Team 2023,not found,,1,99,99,VA,99
JobProgress,Leap Team 2023,not found,,3,99,249,Texas,249
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,TX,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,NY,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,MI,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CT,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,MO,60.5
JobProgress,Partner 65,not found,Carpet & Flooring,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,IN,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,TX,60.5
JobProgress,Partner 65,238160,,1,60.5,60.5,SC,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,KS,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,AL,60.5
JobProgress,Partner 65,not found,Fences,1,60.5,60.5,NE,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,FL,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,FL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,GA,60.5
JobProgress,Partner 65,not found,Contractors - Concrete,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,Glass Products & Services,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,FL,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,Contractors - Masonry,1,60.5,60.5,MI,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,KY,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,CO,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,PA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CT,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,MO,60.5
JobProgress,Partner 65,not found,"Heating, Ventilation & Air Conditioning",1,60.5,60.5,DE,60.5
JobProgress,Partner 65,not found,Contractors - Painting,1,60.5,60.5,MB,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,WI,60.5
JobProgress,Partner 65,not found,Carpet & Flooring,1,60.5,60.5,WI,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,TX,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,GA,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,MD,60.5
JobProgress,Partner 65,not found,Contractors - Painting,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,NC,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,PA,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,GA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,AL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,NY,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,NY,60.5
JobProgress,Partner 65,not found,Contractors - Painting,1,60.5,60.5,NY,60.5
JobProgress,Partner 65,not found,Contractors - Excavation & Wrecking,1,60.5,60.5,OR,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,AL,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,IL,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,KY,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,GA,60.5
JobProgress,Partner 65,238160,Contractors - Roofing,1,60.5,60.5,FL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,MD,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,OH,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,NC,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,AZ,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,IN,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,MT,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,NY,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,KY,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,CO,60.5
Both,Leap Team 2023,not found,,2,74,148,WA,346
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,MD,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,MA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,IL,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,MD,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,SC,60.5
JobProgress,Partner 65,238160,Contractors - Roofing,1,60.5,60.5,FL,60.5
JobProgress,Partner 65,not found,Contractors - Painting,1,60.5,60.5,MA,60.5
JobProgress,Partner 65,not found,Contractors - Painting,1,60.5,60.5,AL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,BC,60.5
Both,Partner 65,not found,,1,60.5,60.5,NC,150.5
JobProgress,Partner 65,not found,Contractors - Deck & Patio,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,FL,60.5
JobProgress,Leap Team 2023,not found,,4,79,316,NH,316
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,CA,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,TX,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,WA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,MI,60.5
JobProgress,Partner 65,not found,Cleaning Services & Supplies,1,60.5,60.5,NJ,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,TX,60.5
JobProgress,Partner 65,not found,,1,60.5,60.5,GA,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,SC,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,IA,60.5
JobProgress,Partner 65,not found,Contractors - Building,1,60.5,60.5,MN,60.5
JobProgress,Partner 65,not found,Home Improvement & Remodeling Services,1,60.5,60.5,IL,60.5
JobProgress,Partner 65,not found,Contractors - Roofing,1,60.5,60.5,VA,60.5
